question,answer,label
How to prevent cross-contamination?,Clean knives,avarage
Why wash fruits before eating?,Clean,avarage
"What does ""use-by"" date mean?",Expiry,avarage
What is mass?,Mass means how much stuff is inside something.,avarage
What is weight?,Weight is how heavy something feels when you hold it.,avarage
Why does weight change on different planets?,Planets pull with different strength so things weigh different amounts.,avarage
What is standardized measurement?,Its when all countries use the same kind of rulers and scales.,avarage
Name three fundamental quantities,"Length, weight, and how long things take are basic measurements.",avarage
What is the SI unit for length?,We measure how long things are in meters.,avarage
What is the SI unit for mass?,We measure how heavy things are in kilograms.,avarage
What is the SI unit for time?,We count time going by in seconds.,avarage
Why are accurate measurements important?,We need good measurements so things work right and are fair.,avarage
What causes errors in measurement?,Mistakes happen when we dont measure carefully or tools are broken.,avarage
How should you measure length accurately?,Put the ruler flat and look straight at the numbers to measure right.,avarage
What tool measures liquid volume?,A special cup with numbers measures juice or water amounts.,avarage
What instrument measures weight?,A hanging scale with numbers tells us how heavy things are.,avarage
What is area?,Area means how much space something takes up when its flat.,avarage
How do we calculate area?,You times the sides together to find the area.,avarage
What is volume?,Volume means how much room something fills.,avarage
What is density?,Density is how squished together the stuff inside something is.,avarage
What is a scalar quantity?,Scalar means just the number without worrying about which way.,avarage
Give an example of scalar quantity,"How hot something is doesnt have a direction, just a number.",avarage
What is a vector quantity?,Vector means the number plus which way its going.,avarage
Give an example of vector quantity,Pushing something needs how hard and which direction.,avarage
What instrument measures temperature?,A temperature checker has colored liquid that goes up when hot.,avarage
What do we use to measure time?,Clocks and timers tell us how much time passes.,avarage
Why do we use standard units?,Same units mean everyone measures stuff the same way.,avarage
What is speed?,Speed is how far something goes in how much time.,avarage
What units measure speed?,Speed numbers tell meters each second or kilometers each hour.,avarage
What measures electric current?,A special meter counts electricity moving in wires.,avarage
What unit measures light brightness?,Brightness has special units called candelas.,avarage
How do we measure curved lines?,Use bendy string then measure it straight to check curves.,avarage
What is perimeter?,Perimeter means adding all the sides of a shape together.,avarage
How measure irregular objects?,Put funny shapes in water to see how much space they take.,avarage
What is zero error?,"When the scale starts wrong, everything measured is wrong.",avarage
Why calibrate tools?,Fix measuring tools so they show the right numbers.,avarage
What is parallax error?,Wrong looking angle makes measurements seem wrong.,avarage
How avoid parallax error?,Look straight at the numbers to see them right.,avarage
What measures small lengths precisely?,Special tiny rulers measure very small things exactly.,avarage
What measures blood pressure?,The doctors arm pump checks your blood pressure.,avarage
What is the unit for area?,Area numbers have little 2s meaning times the sides.,avarage
What is the unit for volume?,Volume numbers have little 3s meaning times all sides.,avarage
What is a meniscus?,The bendy top of water in a tube is called meniscus.,avarage
How read a meniscus?,Look at the lowest point of the water curve to measure.,avarage
What is estimation?,Estimation means making a smart guess about sizes.,avarage
Why estimate first?,Guessing first helps find wrong answers quickly.,avarage
What is rounding?,Rounding makes numbers simpler by going up or down.,avarage
Why round measurements?,Simple numbers help do math faster sometimes.,avarage
What is precision?,Precision is when you get almost the same number each time.,avarage
What is accuracy?,Accuracy is when you get the exactly right number.,avarage
Can measurements be precise but not accurate?,You can be wrong the same way every time.,avarage
What is human error?,People sometimes measure wrong by accident.,avarage
What is instrument error?,Tools can measure wrong if theyre broken.,avarage
Why record measurements?,Writing down numbers helps remember and check work.,avarage
What is motion?,Movement of object.,poor
Define distance.,How far something moves.,poor
Define displacement.,Distance between start and end.,avarage
What is the SI unit of distance?,Meter.,avarage
How is displacement different from distance?,"Distance is more, displacement is less.",poor
What is speed?,How fast object moves.,poor
Write the formula for speed.,Distance divided by time.,avarage
What is velocity?,Speed in a direction.,avarage
Define uniform motion.,Constant speed.,poor
Define non-uniform motion.,Changing speed.,poor
What is acceleration?,Change in velocity.,poor
State the formula for acceleration.,(v - u) ' t.,avarage
What is the SI unit of acceleration?,Meter per second square.,avarage
Define average velocity.,u + v divided by 2.,avarage
Define instantaneous velocity.,Speed at one moment.,poor
Give one example of uniform motion.,Car moves same speed.,poor
What is Newton's First Law of Motion?,Object stays same unless pushed.,poor
What does inertia mean?,Object doesn't want to move or stop.,poor
Give an example of Newton's First Law.,Coin falls in glass.,poor
Define force.,Push or pull.,avarage
What is the SI unit of force?,Newton.,avarage
Define work in physics.,Force moves thing.,poor
Write the formula for work.,Force times distance.,avarage
What is the unit of work?,Joule.,avarage
When is no work done?,If nothing moves.,poor
What happens to motion if net force is zero?,No change in movement.,poor
What is the relation between force and acceleration?,F = ma.,avarage
Define deceleration.,Slows down.,poor
What does a straight line on distance-time graph mean?,No change in speed.,poor
What does a curved line on distance-time graph show?,Speed changing.,poor
What is the effect of balanced force?,Nothing changes.,poor
What is the effect of unbalanced force?,It moves.,poor
What is the direction of acceleration if velocity increases?,Same direction.,avarage
What is the direction of acceleration if velocity decreases?,Backwards.,poor
Give example of acceleration.,Car moves faster.,poor
Give example of deceleration.,Car stops slowly.,poor
How is velocity different from speed?,Velocity = speed + direction.,avarage
What does a steep slope on a speed-time graph show?,Speeding fast.,poor
What is negative work?,Opposite directions.,poor
Name one activity that involves work.,Picking up bag.,poor
Does holding a book in air involve work?,No movement.,poor
What type of quantity is displacement?,Vector.,avarage
What type of quantity is distance?,Scalar.,avarage
Is force a vector or scalar?,Vector.,avarage
What happens to work if displacement is zero?,Work is zero.,avarage
Define net force.,Total force.,avarage
Can work be negative?,Yes.,poor
What is the relation between motion and force?,Force makes things move.,poor
How is mass related to inertia?,"More mass, more inertia.",avarage
What is heat?,heat make things hot.,avarage
Name three modes of heat transfer.,"condution, convaction and raditon.",poor
What is conduction?,heat moves in solid,avarage
Give an example of conduction.,rod get hot,poor
What is convection?,heat go in air and water,poor
